Time,Anomaly (deg C),Ensemble standard deviation (1 sigma),Coverage uncertainty (1 sigma),Total uncertainty (1 sigma)
1871-10,-0.37327537,0.07577029,0.0554315,0.09388177
1871-11,-0.5226968,0.08432073,0.08305462,0.11835563
1871-12,-0.48901418,0.07835308,0.11669397,0.14055848
1872-01,-0.59878874,0.07250713,0.1077551,0.12987858
1872-02,-0.61987036,0.071017094,0.12321307,0.14221424
1872-03,-0.523702,0.078373805,0.12820975,0.15026708
1872-04,-0.3854148,0.08048548,0.10334696,0.13099049
1872-05,-0.14151993,0.07067045,0.09306747,0.11685831
1872-06,-0.27950048,0.07188133,0.08721544,0.11301973
1872-07,-0.14631678,0.06944103,0.08224263,0.10763785
1872-08,0.008637112,0.071298584,0.094318606,0.11823488
1872-09,-0.17648244,0.07264037,0.07021217,0.101026595
1872-10,-0.2035192,0.07332795,0.05217451,0.08999538
1872-11,-0.32202852,0.07151721,0.06884924,0.099272
1872-12,-0.5479975,0.06981471,0.099430636,0.12149298
1873-01,-0.26165044,0.06889948,0.08885404,0.11243744
1873-02,-0.28293252,0.083843455,0.12221291,0.14820836
1873-03,-0.4087238,0.0724576,0.100467,0.12386977
1873-04,-0.4805553,0.06734083,0.08635418,0.109507225
1873-05,-0.3509207,0.07664142,0.07791421,0.10929104
1873-06,-0.32054913,0.06520814,0.08804291,0.10956119
1873-07,-0.17570111,0.075007565,0.08162481,0.11085461
1873-08,-0.22783396,0.067413546,0.08135267,0.10565436
1873-09,-0.40525547,0.06994816,0.07633713,0.103537925
1873-10,-0.3906487,0.07756942,0.050584592,0.092605695
1873-11,-0.46331128,0.0713149,0.0739346,0.10272361
1873-12,-0.3279057,0.08218783,0.110653,0.13783659
1874-01,-0.19854628,0.08170993,0.10088404,0.12982336
1874-02,-0.43842116,0.077125385,0.095487006,0.12274402
1874-03,-0.6729315,0.074275464,0.10772849,0.1308521
1874-04,-0.4370358,0.070892975,0.08117826,0.10777627
1874-05,-0.33399135,0.082383744,0.10256425,0.1315542
1874-06,-0.56584716,0.071924694,0.09439037,0.11867057
1874-07,-0.16706698,0.06669523,0.08713179,0.10972785
1874-08,-0.2960711,0.073010854,0.09267518,0.11797997
1874-09,-0.16819394,0.06547237,0.072559856,0.097732104
1874-10,-0.47115755,0.065953344,0.058052044,0.08786287
1874-11,-0.41774487,0.06890154,0.08444069,0.10898464
1874-12,-0.31200656,0.07128718,0.10871997,0.13000728
1875-01,-0.5711182,0.07385559,0.088711604,0.115431346
1875-02,-0.4792721,0.076629534,0.09581739,0.1226909
1875-03,-0.56430274,0.07440898,0.08988842,0.11669029
1875-04,-0.35805592,0.07637361,0.0789341,0.10983406
1875-05,-0.2728362,0.07359957,0.0731632,0.10377741
1875-06,-0.27996176,0.07090282,0.084530614,0.110329665
1875-07,-0.18206008,0.077101015,0.06844135,0.103096
1875-08,-0.24648568,0.07398997,0.08997012,0.116486646
1875-09,-0.23427878,0.07682171,0.072558396,0.10567069
1875-10,-0.23321441,0.072519355,0.052892737,0.08975911
1875-11,-0.50920546,0.08222924,0.07733137,0.11287954
1875-12,-0.57672006,0.07378531,0.092549495,0.1183625
1876-01,-0.51370406,0.07273953,0.08460793,0.11157751
1876-02,-0.33739862,0.080070905,0.08423536,0.116219394
1876-03,-0.36232424,0.07157395,0.1208507,0.14045541
1876-04,-0.42427677,0.08192986,0.08490209,0.11798673
1876-05,-0.59042513,0.07690434,0.08002659,0.110988885
1876-06,-0.35227904,0.07250241,0.08798772,0.11401069
1876-07,-0.21372749,0.06998653,0.07320959,0.10128059
1876-08,-0.32724735,0.06981107,0.09953048,0.12157262
1876-09,-0.41784137,0.07314894,0.08654973,0.11332089
1876-10,-0.29983562,0.07318439,0.053907502,0.09089541
1876-11,-0.60684675,0.0704194,0.07900948,0.105836615
1876-12,-0.64341265,0.07621026,0.103247724,0.12832808
1877-01,-0.41108242,0.07052174,0.080580935,0.107082225
1877-02,-0.20926146,0.07217058,0.08491694,0.11144272
1877-03,-0.091358565,0.07027129,0.08889471,0.11331515
1877-04,-0.3459171,0.07120482,0.07531165,0.103643484
1877-05,-0.41127652,0.07162109,0.07701154,0.10516824
1877-06,-0.13819988,0.0745899,0.08187088,0.11075421
1877-07,-0.016253214,0.066790976,0.084638156,0.10781768
1877-08,0.21073052,0.068656996,0.09022067,0.11337351
1877-09,0.10758122,0.06510732,0.06798315,0.09413115
1877-10,0.11331653,0.07343615,0.06056216,0.09518741
1877-11,0.03397783,0.06553615,0.071219705,0.09678447
1877-12,-0.05556291,0.07315772,0.09835605,0.12258045
1878-01,-0.06979711,0.062023792,0.07598251,0.098083094
1878-02,0.22940955,0.06865801,0.08716264,0.110956065
1878-03,0.36132926,0.06758878,0.10389568,0.12394577
1878-04,0.18853739,0.0660231,0.07485363,0.0998104
1878-05,-0.122401394,0.07248148,0.078849986,0.107102215
1878-06,0.010291125,0.067428745,0.08546752,0.10886382
1878-07,-0.0772364,0.06690741,0.079039805,0.10355623
1878-08,-0.04655335,0.065375686,0.08793697,0.10957596
1878-09,0.020835022,0.06988001,0.062346123,0.09364964
1878-10,-0.1650159,0.066063836,0.055557895,0.08631981
1878-11,-0.14255811,0.06761805,0.07913825,0.104091614
1878-12,-0.3226224,0.057763577,0.10120375,0.116528235
1879-01,-0.23778471,0.07065001,0.08133844,0.10773749
1879-02,-0.26602048,0.075305715,0.08700397,0.11506799
1879-03,-0.2583884,0.07647001,0.08846675,0.116936
1879-04,-0.38240048,0.0737877,0.07464767,0.10496142
1879-05,-0.34387106,0.06988454,0.06447047,0.09508044
1879-06,-0.28325993,0.06314835,0.07543133,0.09837479
1879-07,-0.2641225,0.068890795,0.07261391,0.100093566
1879-08,-0.26534295,0.064445116,0.08871317,0.10965035
1879-09,-0.23556925,0.06861724,0.06544271,0.094821274
1879-10,-0.15905875,0.072616264,0.053054247,0.08993261
1879-11,-0.397338,0.07425448,0.08906187,0.11595579
1879-12,-0.55045533,0.07451259,0.11136803,0.13399614
1880-01,-0.39386344,0.070864834,0.08211409,0.1084645
1880-02,-0.4498938,0.068432115,0.083368614,0.10785768
1880-03,-0.19438674,0.0694994,0.10442208,0.12543578
1880-04,-0.33803284,0.065484434,0.09802681,0.11788751
1880-05,-0.3253502,0.06757373,0.07616183,0.10181765
1880-06,-0.38053036,0.066029795,0.07333727,0.09868277
1880-07,-0.3148068,0.061869517,0.07142545,0.09449567
1880-08,-0.10718303,0.06250869,0.08690322,0.107049085
1880-09,-0.29703382,0.06880816,0.06479613,0.094515085
1880-10,-0.39094922,0.061000165,0.04756733,0.07735419
1880-11,-0.28068957,0.06686822,0.08309052,0.10665549
1880-12,-0.3172651,0.06708379,0.1157366,0.13377292
1881-01,-0.21463032,0.06890808,0.082003206,0.10711139
1881-02,-0.22458804,0.06760651,0.08731051,0.11042538
1881-03,-0.24820606,0.072074085,0.09081203,0.11593747
1881-04,-0.06252021,0.06780111,0.06581901,0.09449409
1881-05,-0.12189843,0.06835526,0.073098995,0.10007949
1881-06,-0.39908272,0.06861994,0.08044346,0.10573479
1881-07,-0.19404487,0.067581125,0.07124499,0.09819907
1881-08,-0.13816847,0.06605945,0.08395594,0.10682907
1881-09,-0.3007603,0.062191874,0.06780495,0.09200728
1881-10,-0.2305081,0.062946476,0.048429906,0.079421125
1881-11,-0.38121367,0.06537418,0.07474907,0.09930361
1881-12,-0.27132502,0.06259399,0.09331233,0.11236191
1882-01,-0.025385773,0.06814764,0.067108296,0.095643215
1882-02,-0.11726177,0.06763134,0.06304562,0.09245944
1882-03,-0.17708035,0.06783672,0.07307635,0.099709444
1882-04,-0.31474164,0.06756358,0.058652863,0.08947064
1882-05,-0.32572997,0.06578892,0.0651884,0.09261592
1882-06,-0.39225483,0.0631694,0.07566858,0.09857032
1882-07,-0.34102684,0.06732691,0.0651234,0.093669474
1882-08,-0.24510053,0.067525774,0.08371313,0.10755286
1882-09,-0.15044588,0.067867145,0.06376939,0.09312618
1882-10,-0.3990836,0.06792722,0.04665691,0.08240737
1882-11,-0.40350994,0.068253554,0.0667577,0.09547323
1882-12,-0.65474,0.066224374,0.09563881,0.11632906
1883-01,-0.47277278,0.06478333,0.06056828,0.08868707
1883-02,-0.4854322,0.063296705,0.072443575,0.09620054
1883-03,-0.26636964,0.06431643,0.06474774,0.09126267
1883-04,-0.43903488,0.0621027,0.058530007,0.08533761
1883-05,-0.3400283,0.06817606,0.06435396,0.09375184
1883-06,-0.1901544,0.060438167,0.07590623,0.097028494
1883-07,-0.21858145,0.057599075,0.06362794,0.08582639
1883-08,-0.28788334,0.058275048,0.08083301,0.09964917
1883-09,-0.3062682,0.057167135,0.05988826,0.08279303
1883-10,-0.3400996,0.058935978,0.05042963,0.07756673
1883-11,-0.39625064,0.064334616,0.074998714,0.098811686
1883-12,-0.41481745,0.05892869,0.094060056,0.11099498
1884-01,-0.44355372,0.062131874,0.075465,0.0977514
1884-02,-0.33285657,0.06723297,0.06540714,0.093799606
1884-03,-0.50546813,0.064023696,0.0758465,0.09925586
1884-04,-0.5089616,0.06004037,0.05893912,0.08413481
1884-05,-0.56562126,0.054875348,0.059802186,0.08116406
1884-06,-0.5137893,0.055349335,0.07324924,0.091809586
1884-07,-0.5658637,0.059176464,0.062192716,0.08584747
1884-08,-0.429122,0.05613455,0.07978278,0.097551934
1884-09,-0.5043303,0.055848856,0.060649827,0.08244693
1884-10,-0.463346,0.05899263,0.0494805,0.07699643
1884-11,-0.5852065,0.05934353,0.07979936,0.09944643
1884-12,-0.4897219,0.056849893,0.09866799,0.11387397
1885-01,-0.65614164,0.06379128,0.06733593,0.09275482
1885-02,-0.5527572,0.06461018,0.06759531,0.09350723
1885-03,-0.42101642,0.064423256,0.061460998,0.08903825
1885-04,-0.63497037,0.058058485,0.051066518,0.07732126
1885-05,-0.60631216,0.059226893,0.061589368,0.08544633
1885-06,-0.63664883,0.058744673,0.07462314,0.09497131
1885-07,-0.42047033,0.063103236,0.062069766,0.088513695
1885-08,-0.4050678,0.055396024,0.079376474,0.09679537
1885-09,-0.35673314,0.06123558,0.059085336,0.08509332
1885-10,-0.36150765,0.060709763,0.046751704,0.07662504
1885-11,-0.38425598,0.055624355,0.06472015,0.08533912
1885-12,-0.21760142,0.060233265,0.091624886,0.1096502
1886-01,-0.479745,0.058941796,0.050801337,0.07781331
1886-02,-0.47879001,0.0581597,0.0493939,0.07630405
1886-03,-0.48723003,0.05295232,0.050648056,0.07327465
1886-04,-0.3615867,0.053094823,0.050222483,0.07308459
1886-05,-0.29257125,0.056188453,0.063962124,0.08513692
1886-06,-0.5019767,0.05258943,0.07178422,0.08898664
1886-07,-0.3021988,0.05186701,0.059368744,0.07883422
1886-08,-0.45738658,0.053668622,0.08213125,0.09811148
1886-09,-0.39079213,0.054058548,0.057606347,0.07899885
1886-10,-0.41297862,0.059632756,0.046174463,0.075419806
1886-11,-0.49078947,0.051833224,0.06822133,0.08567867
1886-12,-0.39479798,0.056838125,0.09121218,0.10747202
1887-01,-0.74377,0.0668566,0.05132861,0.08428779
1887-02,-0.65888214,0.06333867,0.052326392,0.082157396
1887-03,-0.44538546,0.06172121,0.053582817,0.0817351
1887-04,-0.48280382,0.061427858,0.05136687,0.08007457
1887-05,-0.52945954,0.060340818,0.0684849,0.09127539
1887-06,-0.52584267,0.06526011,0.07272893,0.09771581
1887-07,-0.38890877,0.062104616,0.060817063,0.086923525
1887-08,-0.44554248,0.057649806,0.08146129,0.099797
1887-09,-0.3885525,0.059258394,0.060728166,0.08484968
1887-10,-0.4446146,0.063599594,0.045549143,0.078228086
1887-11,-0.43516165,0.05909534,0.06617296,0.08871933
1887-12,-0.49650568,0.06738424,0.08238148,0.106429994
1888-01,-0.6184704,0.06167894,0.05745977,0.0842966
1888-02,-0.58728784,0.061019465,0.06452557,0.08880835
1888-03,-0.59725916,0.06294139,0.06806923,0.09270942
